"atmosphere","fbcount","fbscore","food","id","overall","reviewcount","selection","service"
"4","","","4.25","6131","80.00005","1","4.25","3.75"
"0","","","0","6134","0","0","0","0"
"4.25","","","4.5","5579","86.6667","1","4.5","4.25"
"0","","","0","6178","0","0","0","0"
"0","","","0","6179","0","0","0","0"
"0","","","0","1954","0","0","0","0"
"0","","","0","15933","0","0","0","0"
"4.5","","","4.5","146","89.99995","1","4.25","4.75"
"0","","","0","148","0","0","0","0"
"4.25","","","4.25","149","86.6667","2","4.5","4.25"
"4.5","","","4.25","150","84.999925","2","3.875","4.375"
"0","","","0","152","0","0","0","0"
"0","","","0","153","0","0","0","0"
"4.5","","","0","155","86.666575","2","3.875","4.625"
"0","","","0","20749","0","0","0","0"
"0","","","0","16549","0","0","0","0"
"0","","","0","18740","0","0","0","0"
"0","","","0","2207","0","0","0","0"
"1","","","0","9733","36.6671","1","4","0.5"
"0","","","0","20966","0","0","0","0"
"0","","","0","2685","0","0","0","0"
"0","","","0","8001","0","0","0","0"
"1.5","","","0","9990","29.9999","1","1","2"
"0","","","0","10400","0","0","0","0"
"0","","","0","1955","0","0","0","0"
"4.75","","","4.25","5408","88.33325","1","4","4.5"
"4.25","","","4.25","5308","84.99995","1","4","4.5"
"0","","","0","18796","0","0","0","0"
"0","","","0","19940","0","0","0","0"
"3.75","","","4.75","8760","85.0001","1","4.75","4.25"
"0","","","0","19231","0","0","0","0"
"0","","","0","18578","0","0","0","0"
"0","","","0","2208","0","0","0","0"
"0","","","0","15599","0","0","0","0"
"0","","","0","10644","0","0","0","0"
"0","","","0","14489","0","0","0","0"
"0","","","0","14998","0","0","0","0"
"0","","","0","13313","0","0","0","0"
"0","","","0","180","0","0","0","0"
"0","","","0","18915","0","0","0","0"
"0","","","0","15296","0","0","0","0"
"0","","","0","2686","0","0","0","0"
"0","","","0","2687","0","0","0","0"
"0","","","0","4618","0","0","0","0"
"0","","","0","18773","0","0","0","0"
"0","","","0","17516","0","0","0","0"
